"Statistic:   Number of Applications"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_03.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Applications,
2006 ,"'H72 The University of Hull' ","'UK' ",12980
2006 ,"'H72 The University of Hull' ","'EU (excluding UK)' ",490
2006 ,"'H72 The University of Hull' ","'Not EU' ",1345
2006 ,"'H73 Hull College' ","'UK' ",755
2006 ,"'H73 Hull College' ","'EU (excluding UK)' ",10
2006 ,"'H73 Hull College' ","'Not EU' ",15
2006 ,"'H75 Hull York Medical School' ","'UK' ",990
2006 ,"'H75 Hull York Medical School' ","'EU (excluding UK)' ",80
2006 ,"'H75 Hull York Medical School' ","'Not EU' ",90
2006 ,"'I50 Imperial College London' ","'UK' ",8345
2006 ,"'I50 Imperial College London' ","'EU (excluding UK)' ",1515
2006 ,"'I50 Imperial College London' ","'Not EU' ",4535
2006 ,"'K12 Keele University' ","'UK' ",11300
2006 ,"'K12 Keele University' ","'EU (excluding UK)' ",480
2006 ,"'K12 Keele University' ","'Not EU' ",805
2006 ,"'K24 The University of Kent' ","'UK' ",15285
2006 ,"'K24 The University of Kent' ","'EU (excluding UK)' ",1540
2006 ,"'K24 The University of Kent' ","'Not EU' ",2650
2006 ,"'K36 Kent Institute of Art and Design' ","'UK' ",3265
2006 ,"'K36 Kent Institute of Art and Design' ","'EU (excluding UK)' ",320
2006 ,"'K36 Kent Institute of Art and Design' ","'Not EU' ",240
2006 ,"'K60 King's College London (University of London)' ","'UK' ",23720
2006 ,"'K60 King's College London (University of London)' ","'EU (excluding UK)' ",2755
2006 ,"'K60 King's College London (University of London)' ","'Not EU' ",4825
2006 ,"'K84 Kingston University' ","'UK' ",28090
2006 ,"'K84 Kingston University' ","'EU (excluding UK)' ",2450
2006 ,"'K84 Kingston University' ","'Not EU' ",3485
2006 ,"'L05 Lakes College - West Cumbria' ","'UK' ",10
2006 ,"'L05 Lakes College - West Cumbria' ","'Not EU' ",5
2006 ,"'L07 The University of Wales, Lampeter' ","'UK' ",975
2006 ,"'L07 The University of Wales, Lampeter' ","'EU (excluding UK)' ",40
2006 ,"'L07 The University of Wales, Lampeter' ","'Not EU' ",60
2006 ,"'L14 Lancaster University' ","'UK' ",11440
2006 ,"'L14 Lancaster University' ","'EU (excluding UK)' ",740
2006 ,"'L14 Lancaster University' ","'Not EU' ",1850
2006 ,"'L20 Lansdowne College' ","'Not EU' ",5
2006 ,"'L21 Leeds City College' ","'UK' ",105
2006 ,"'L21 Leeds City College' ","'EU (excluding UK)' ",5
2006 ,"'L21 Leeds City College' ","'Not EU' ",5
2006 ,"'L22 Leeds: Thomas Danby College' ","'UK' ",10
2006 ,"'L22 Leeds: Thomas Danby College' ","'Not EU' ",5
2006 ,"'L23 University of Leeds' ","'UK' ",42970
2006 ,"'L23 University of Leeds' ","'EU (excluding UK)' ",1645
2006 ,"'L23 University of Leeds' ","'Not EU' ",3935
2006 ,"'L24 Leeds Trinity University' ","'UK' ",4200
