"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_06.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Applicants,
2015 ,"'7 points' ","'Black' ",610
2015 ,"'7 points' ","'Mixed' ",375
2015 ,"'7 points' ","'White' ",6325
2015 ,"'7 points' ","'Other' ",130
2015 ,"'7 points' ","'Unknown' ",50
2015 ,"'8 points' ","'Asian' ",1495
2015 ,"'8 points' ","'Black' ",770
2015 ,"'8 points' ","'Mixed' ",520
2015 ,"'8 points' ","'White' ",9305
2015 ,"'8 points' ","'Other' ",170
2015 ,"'8 points' ","'Unknown' ",65
2015 ,"'9 points' ","'Asian' ",1825
2015 ,"'9 points' ","'Black' ",840
2015 ,"'9 points' ","'Mixed' ",610
2015 ,"'9 points' ","'White' ",12220
2015 ,"'9 points' ","'Other' ",215
2015 ,"'9 points' ","'Unknown' ",65
2015 ,"'10 points' ","'Asian' ",1965
2015 ,"'10 points' ","'Black' ",895
2015 ,"'10 points' ","'Mixed' ",720
2015 ,"'10 points' ","'White' ",14050
2015 ,"'10 points' ","'Other' ",225
2015 ,"'10 points' ","'Unknown' ",80
2015 ,"'11 points' ","'Asian' ",1945
2015 ,"'11 points' ","'Black' ",820
2015 ,"'11 points' ","'Mixed' ",715
2015 ,"'11 points' ","'White' ",15070
2015 ,"'11 points' ","'Other' ",230
2015 ,"'11 points' ","'Unknown' ",90
2015 ,"'12 points' ","'Asian' ",1960
2015 ,"'12 points' ","'Black' ",710
2015 ,"'12 points' ","'Mixed' ",810
2015 ,"'12 points' ","'White' ",15480
2015 ,"'12 points' ","'Other' ",205
2015 ,"'12 points' ","'Unknown' ",90
2015 ,"'13 points' ","'Asian' ",1800
2015 ,"'13 points' ","'Black' ",545
2015 ,"'13 points' ","'Mixed' ",760
2015 ,"'13 points' ","'White' ",14365
2015 ,"'13 points' ","'Other' ",220
2015 ,"'13 points' ","'Unknown' ",110
2015 ,"'14 points' ","'Asian' ",1595
2015 ,"'14 points' ","'Black' ",420
2015 ,"'14 points' ","'Mixed' ",650
2015 ,"'14 points' ","'White' ",12645
2015 ,"'14 points' ","'Other' ",175
2015 ,"'14 points' ","'Unknown' ",105
2015 ,"'15 points' ","'Asian' ",1485
2015 ,"'15 points' ","'Black' ",335
2015 ,"'15 points' ","'Mixed' ",585
2015 ,"'15 points' ","'White' ",11540
2015 ,"'15 points' ","'Other' ",160
2015 ,"'15 points' ","'Unknown' ",100
