"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_05.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Acceptances,
2015 ,"'10 points' ","'Asian' ",1715
2015 ,"'10 points' ","'Black' ",815
2015 ,"'10 points' ","'Mixed' ",625
2015 ,"'10 points' ","'White' ",12030
2015 ,"'10 points' ","'Other' ",195
2015 ,"'10 points' ","'Unknown' ",70
2015 ,"'11 points' ","'Asian' ",1755
2015 ,"'11 points' ","'Black' ",750
2015 ,"'11 points' ","'Mixed' ",635
2015 ,"'11 points' ","'White' ",13185
2015 ,"'11 points' ","'Other' ",210
2015 ,"'11 points' ","'Unknown' ",80
2015 ,"'12 points' ","'Asian' ",1745
2015 ,"'12 points' ","'Black' ",655
2015 ,"'12 points' ","'Mixed' ",735
2015 ,"'12 points' ","'White' ",14080
2015 ,"'12 points' ","'Other' ",185
2015 ,"'12 points' ","'Unknown' ",80
2015 ,"'13 points' ","'Asian' ",1625
2015 ,"'13 points' ","'Black' ",500
2015 ,"'13 points' ","'Mixed' ",700
2015 ,"'13 points' ","'White' ",13145
2015 ,"'13 points' ","'Other' ",200
2015 ,"'13 points' ","'Unknown' ",90
2015 ,"'14 points' ","'Asian' ",1420
2015 ,"'14 points' ","'Black' ",390
2015 ,"'14 points' ","'Mixed' ",600
2015 ,"'14 points' ","'White' ",11705
2015 ,"'14 points' ","'Other' ",155
2015 ,"'14 points' ","'Unknown' ",90
2015 ,"'15 points' ","'Asian' ",1310
2015 ,"'15 points' ","'Black' ",310
2015 ,"'15 points' ","'Mixed' ",550
2015 ,"'15 points' ","'White' ",10680
2015 ,"'15 points' ","'Other' ",150
2015 ,"'15 points' ","'Unknown' ",85
2015 ,"'16 points' ","'Asian' ",1065
2015 ,"'16 points' ","'Black' ",195
2015 ,"'16 points' ","'Mixed' ",435
2015 ,"'16 points' ","'White' ",8310
2015 ,"'16 points' ","'Other' ",90
2015 ,"'16 points' ","'Unknown' ",100
2015 ,"'17 points' ","'Asian' ",740
2015 ,"'17 points' ","'Black' ",90
2015 ,"'17 points' ","'Mixed' ",310
2015 ,"'17 points' ","'White' ",5340
2015 ,"'17 points' ","'Other' ",50
2015 ,"'17 points' ","'Unknown' ",70
2015 ,"'18 points' ","'Asian' ",695
2015 ,"'18 points' ","'Black' ",50
2015 ,"'18 points' ","'Mixed' ",240
2015 ,"'18 points' ","'White' ",4170
2015 ,"'18 points' ","'Other' ",55
2015 ,"'18 points' ","'Unknown' ",75
2016 ,"'3 points' ","'Asian' ",35
2016 ,"'3 points' ","'Black' ",15
2016 ,"'3 points' ","'Mixed' ",10
2016 ,"'3 points' ","'White' ",90
2016 ,"'3 points' ","'Other' ",5
2016 ,"'3 points' ","'Unknown' ",5
2016 ,"'4 points' ","'Asian' ",135
2016 ,"'4 points' ","'Black' ",70
2016 ,"'4 points' ","'Mixed' ",30
2016 ,"'4 points' ","'White' ",465
2016 ,"'4 points' ","'Other' ",15
2016 ,"'4 points' ","'Unknown' ",5
2016 ,"'5 points' ","'Asian' ",300
2016 ,"'5 points' ","'Black' ",220
2016 ,"'5 points' ","'Mixed' ",75
2016 ,"'5 points' ","'White' ",1350
2016 ,"'5 points' ","'Other' ",35
