"Statistic:   Number of Applicants"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_06.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2009 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",70
2009 ,"'Other' ","'18' ","'Women' ","'Scotland' ",100
2009 ,"'Other' ","'18' ","'Women' ","'Wales' ",145
2009 ,"'Other' ","'19' ","'Men' ","'England' ",4205
2009 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",35
2009 ,"'Other' ","'19' ","'Men' ","'Scotland' ",160
2009 ,"'Other' ","'19' ","'Men' ","'Wales' ",135
2009 ,"'Other' ","'19' ","'Women' ","'England' ",6890
2009 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",45
2009 ,"'Other' ","'19' ","'Women' ","'Scotland' ",240
2009 ,"'Other' ","'19' ","'Women' ","'Wales' ",265
2010 ,"'Academy' ","'18' ","'Men' ","'England' ",30620
2010 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",10
2010 ,"'Academy' ","'18' ","'Men' ","'Wales' ",30
2010 ,"'Academy' ","'18' ","'Women' ","'England' ",37055
2010 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",20
2010 ,"'Academy' ","'18' ","'Women' ","'Wales' ",35
2010 ,"'Academy' ","'19' ","'Men' ","'England' ",6675
2010 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2010 ,"'Academy' ","'19' ","'Men' ","'Wales' ",5
2010 ,"'Academy' ","'19' ","'Women' ","'England' ",6965
2010 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",10
2010 ,"'Academy' ","'19' ","'Women' ","'Wales' ",15
2010 ,"'Further education' ","'18' ","'Men' ","'England' ",10015
2010 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",470
2010 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",120
2010 ,"'Further education' ","'18' ","'Men' ","'Wales' ",920
2010 ,"'Further education' ","'18' ","'Women' ","'England' ",13465
2010 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",445
2010 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",330
2010 ,"'Further education' ","'18' ","'Women' ","'Wales' ",1225
2010 ,"'Further education' ","'19' ","'Men' ","'England' ",8805
2010 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",415
2010 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",675
2010 ,"'Further education' ","'19' ","'Men' ","'Wales' ",635
2010 ,"'Further education' ","'19' ","'Women' ","'England' ",10330
2010 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",480
2010 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",1160
2010 ,"'Further education' ","'19' ","'Women' ","'Wales' ",820
2010 ,"'Grammar' ","'18' ","'Men' ","'England' ",1890
2010 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",3465
2010 ,"'Grammar' ","'18' ","'Women' ","'England' ",2045
2010 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",4215
2010 ,"'Grammar' ","'19' ","'Men' ","'England' ",325
2010 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",405
2010 ,"'Grammar' ","'19' ","'Women' ","'England' ",375
2010 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",385
2010 ,"'Independent' ","'18' ","'Men' ","'England' ",13320
2010 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",45
2010 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",985
2010 ,"'Independent' ","'18' ","'Men' ","'Wales' ",300
2010 ,"'Independent' ","'18' ","'Women' ","'England' ",12500
2010 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",95
2010 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",1120
2010 ,"'Independent' ","'18' ","'Women' ","'Wales' ",310
2010 ,"'Independent' ","'19' ","'Men' ","'England' ",4010
2010 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",10
2010 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",345
2010 ,"'Independent' ","'19' ","'Men' ","'Wales' ",80
2010 ,"'Independent' ","'19' ","'Women' ","'England' ",3440
2010 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",10
2010 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",325
2010 ,"'Independent' ","'19' ","'Women' ","'Wales' ",70
2010 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",20910
2010 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",15
2010 ,"'Sixth form college' ","'18' ","'Men' ","'Scotland' ",5
2010 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",235
2010 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",28855
2010 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",25
2010 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",305
2010 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",8950
2010 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",30
2010 ,"'Sixth form college' ","'19' ","'Men' ","'Scotland' ",5
2010 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",155
2010 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",10210
2010 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",40
2010 ,"'Sixth form college' ","'19' ","'Women' ","'Scotland' ",5
2010 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",215
2010 ,"'State' ","'18' ","'Men' ","'England' ",20510
2010 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",1195
