"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_004_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'M80 Middlesex University' ","'England' ",2075
2006 ,"'M80 Middlesex University' ","'Northern Ireland' ",5
2006 ,"'M80 Middlesex University' ","'Wales' ",10
2006 ,"'M95 Mountview Academy of Theatre Arts' ","'England' ",75
2006 ,"'M95 Mountview Academy of Theatre Arts' ","'Northern Ireland' ",5
2006 ,"'M95 Mountview Academy of Theatre Arts' ","'Scotland' ",5
2006 ,"'M95 Mountview Academy of Theatre Arts' ","'Wales' ",10
2006 ,"'M99 Myerscough College' ","'England' ",185
2006 ,"'M99 Myerscough College' ","'Northern Ireland' ",5
2006 ,"'M99 Myerscough College' ","'Scotland' ",5
2006 ,"'M99 Myerscough College' ","'Wales' ",5
2006 ,"'N07 Napier University, Edinburgh' ","'England' ",70
2006 ,"'N07 Napier University, Edinburgh' ","'Northern Ireland' ",70
2006 ,"'N07 Napier University, Edinburgh' ","'Scotland' ",1220
2006 ,"'N07 Napier University, Edinburgh' ","'Wales' ",5
2006 ,"'N13 NPTC Group' ","'Wales' ",15
2006 ,"'N21 Newcastle University' ","'England' ",3355
2006 ,"'N21 Newcastle University' ","'Northern Ireland' ",150
2006 ,"'N21 Newcastle University' ","'Scotland' ",125
2006 ,"'N21 Newcastle University' ","'Wales' ",35
2006 ,"'N23 Newcastle College' ","'England' ",650
2006 ,"'N23 Newcastle College' ","'Northern Ireland' ",5
2006 ,"'N23 Newcastle College' ","'Scotland' ",15
2006 ,"'N23 Newcastle College' ","'Wales' ",5
2006 ,"'N28 New College Durham' ","'England' ",160
2006 ,"'N30 New College Nottingham' ","'England' ",145
2006 ,"'N36 Newman University, Birmingham' ","'England' ",505
2006 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'England' ",335
