"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_01.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'K84 Kingston University' ","'Not EU' ",540
2007 ,"'L07 The University of Wales, Lampeter' ","'UK' ",230
2007 ,"'L07 The University of Wales, Lampeter' ","'EU (excluding UK)' ",5
2007 ,"'L07 The University of Wales, Lampeter' ","'Not EU' ",5
2007 ,"'L14 Lancaster University' ","'UK' ",2280
2007 ,"'L14 Lancaster University' ","'EU (excluding UK)' ",180
2007 ,"'L14 Lancaster University' ","'Not EU' ",240
2007 ,"'L21 Leeds City College' ","'UK' ",120
2007 ,"'L21 Leeds City College' ","'EU (excluding UK)' ",5
2007 ,"'L23 University of Leeds' ","'UK' ",6425
2007 ,"'L23 University of Leeds' ","'EU (excluding UK)' ",170
2007 ,"'L23 University of Leeds' ","'Not EU' ",465
2007 ,"'L24 Leeds Trinity University' ","'UK' ",705
2007 ,"'L24 Leeds Trinity University' ","'EU (excluding UK)' ",5
2007 ,"'L24 Leeds Trinity University' ","'Not EU' ",20
2007 ,"'L27 Leeds Beckett University' ","'UK' ",6455
2007 ,"'L27 Leeds Beckett University' ","'EU (excluding UK)' ",215
2007 ,"'L27 Leeds Beckett University' ","'Not EU' ",140
2007 ,"'L28 Leeds College of Art' ","'UK' ",430
2007 ,"'L28 Leeds College of Art' ","'EU (excluding UK)' ",10
2007 ,"'L28 Leeds College of Art' ","'Not EU' ",5
2007 ,"'L30 Leeds College of Music (UCAS)' ","'UK' ",145
2007 ,"'L30 Leeds College of Music (UCAS)' ","'EU (excluding UK)' ",5
2007 ,"'L30 Leeds College of Music (UCAS)' ","'Not EU' ",5
2007 ,"'L34 University of Leicester' ","'UK' ",2515
2007 ,"'L34 University of Leicester' ","'EU (excluding UK)' ",180
2007 ,"'L34 University of Leicester' ","'Not EU' ",335
2007 ,"'L36 Leicester College' ","'UK' ",55
2007 ,"'L39 University of Lincoln' ","'UK' ",3035
2007 ,"'L39 University of Lincoln' ","'EU (excluding UK)' ",240
2007 ,"'L39 University of Lincoln' ","'Not EU' ",55
2007 ,"'L41 The University of Liverpool' ","'UK' ",3860
2007 ,"'L41 The University of Liverpool' ","'EU (excluding UK)' ",150
2007 ,"'L41 The University of Liverpool' ","'Not EU' ",310
2007 ,"'L43 The City of Liverpool College' ","'UK' ",90
2007 ,"'L46 Liverpool Hope University' ","'UK' ",1645
2007 ,"'L46 Liverpool Hope University' ","'EU (excluding UK)' ",35
2007 ,"'L46 Liverpool Hope University' ","'Not EU' ",15
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'UK' ",175
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'EU (excluding UK)' ",5
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'Not EU' ",20
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'UK' ",5730
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'EU (excluding UK)' ",235
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'Not EU' ",185
2007 ,"'L53 Coleg Llandrillo' ","'UK' ",25
2007 ,"'L68 London Metropolitan University' ","'UK' ",3390
2007 ,"'L68 London Metropolitan University' ","'EU (excluding UK)' ",345
2007 ,"'L68 London Metropolitan University' ","'Not EU' ",275
2007 ,"'L70 London School of Commerce' ","'UK' ",10
2007 ,"'L70 London School of Commerce' ","'EU (excluding UK)' ",5
2007 ,"'L70 London School of Commerce' ","'Not EU' ",10
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'UK' ",735
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'EU (excluding UK)' ",125
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'Not EU' ",550
2007 ,"'L75 London South Bank University' ","'UK' ",2335
2007 ,"'L75 London South Bank University' ","'EU (excluding UK)' ",170
2007 ,"'L75 London South Bank University' ","'Not EU' ",310
2007 ,"'L77 Loughborough College' ","'UK' ",205
2007 ,"'L77 Loughborough College' ","'EU (excluding UK)' ",5
2007 ,"'L77 Loughborough College' ","'Not EU' ",5
2007 ,"'L79 Loughborough University' ","'UK' ",3360
2007 ,"'L79 Loughborough University' ","'EU (excluding UK)' ",105
2007 ,"'L79 Loughborough University' ","'Not EU' ",375
2007 ,"'M10 The Manchester College' ","'UK' ",200
2007 ,"'M20 The University of Manchester' ","'UK' ",6830
2007 ,"'M20 The University of Manchester' ","'EU (excluding UK)' ",390
2007 ,"'M20 The University of Manchester' ","'Not EU' ",1155
2007 ,"'M40 The Manchester Metropolitan University' ","'UK' ",7480
2007 ,"'M40 The Manchester Metropolitan University' ","'EU (excluding UK)' ",225
2007 ,"'M40 The Manchester Metropolitan University' ","'Not EU' ",420
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'UK' ",680
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'EU (excluding UK)' ",10
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'Not EU' ",5
2007 ,"'M60 Matthew Boulton College of Further and Higher Education' ","'UK' ",15
2007 ,"'M62 Medway School of Pharmacy' ","'UK' ",125
2007 ,"'M62 Medway School of Pharmacy' ","'EU (excluding UK)' ",10
2007 ,"'M62 Medway School of Pharmacy' ","'Not EU' ",5
2007 ,"'M80 Middlesex University' ","'UK' ",2815
2007 ,"'M80 Middlesex University' ","'EU (excluding UK)' ",165
2007 ,"'M80 Middlesex University' ","'Not EU' ",140
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'UK' ",95
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'EU (excluding UK)' ",5
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'Not EU' ",5
2007 ,"'M99 Myerscough College' ","'UK' ",280
2007 ,"'M99 Myerscough College' ","'EU (excluding UK)' ",5
2007 ,"'M99 Myerscough College' ","'Not EU' ",5
2007 ,"'N07 Napier University, Edinburgh' ","'UK' ",2220
2007 ,"'N07 Napier University, Edinburgh' ","'EU (excluding UK)' ",745
2007 ,"'N07 Napier University, Edinburgh' ","'Not EU' ",320
2007 ,"'N13 NPTC Group' ","'UK' ",145
2007 ,"'N21 Newcastle University' ","'UK' ",3910
2007 ,"'N21 Newcastle University' ","'EU (excluding UK)' ",200
2007 ,"'N21 Newcastle University' ","'Not EU' ",290
2007 ,"'N23 Newcastle College' ","'UK' ",1140
2007 ,"'N23 Newcastle College' ","'EU (excluding UK)' ",10
2007 ,"'N23 Newcastle College' ","'Not EU' ",5
2007 ,"'N28 New College Durham' ","'UK' ",165
2007 ,"'N30 New College Nottingham' ","'UK' ",310
2007 ,"'N30 New College Nottingham' ","'Not EU' ",25
2007 ,"'N36 Newman University, Birmingham' ","'UK' ",640
2007 ,"'N36 Newman University, Birmingham' ","'EU (excluding UK)' ",10
2007 ,"'N36 Newman University, Birmingham' ","'Not EU' ",5
