"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Accepted through the main scheme and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_02.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'L46 Liverpool Hope University' ","'EU (excluding UK)' ",30
2007 ,"'L46 Liverpool Hope University' ","'Not EU' ",15
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'UK' ",165
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'EU (excluding UK)' ",5
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'Not EU' ",20
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'UK' ",4465
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'EU (excluding UK)' ",150
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'Not EU' ",155
2007 ,"'L53 Coleg Llandrillo' ","'UK' ",25
2007 ,"'L68 London Metropolitan University' ","'UK' ",2010
2007 ,"'L68 London Metropolitan University' ","'EU (excluding UK)' ",305
2007 ,"'L68 London Metropolitan University' ","'Not EU' ",225
2007 ,"'L70 London School of Commerce' ","'UK' ",10
2007 ,"'L70 London School of Commerce' ","'EU (excluding UK)' ",5
2007 ,"'L70 London School of Commerce' ","'Not EU' ",10
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'UK' ",725
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'EU (excluding UK)' ",125
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'Not EU' ",550
2007 ,"'L75 London South Bank University' ","'UK' ",1415
2007 ,"'L75 London South Bank University' ","'EU (excluding UK)' ",135
2007 ,"'L75 London South Bank University' ","'Not EU' ",205
2007 ,"'L77 Loughborough College' ","'UK' ",130
2007 ,"'L77 Loughborough College' ","'Not EU' ",5
2007 ,"'L79 Loughborough University' ","'UK' ",3170
2007 ,"'L79 Loughborough University' ","'EU (excluding UK)' ",100
2007 ,"'L79 Loughborough University' ","'Not EU' ",325
2007 ,"'M10 The Manchester College' ","'UK' ",40
2007 ,"'M20 The University of Manchester' ","'UK' ",6275
2007 ,"'M20 The University of Manchester' ","'EU (excluding UK)' ",365
2007 ,"'M20 The University of Manchester' ","'Not EU' ",1000
2007 ,"'M40 The Manchester Metropolitan University' ","'UK' ",6185
2007 ,"'M40 The Manchester Metropolitan University' ","'EU (excluding UK)' ",190
2007 ,"'M40 The Manchester Metropolitan University' ","'Not EU' ",270
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'UK' ",605
2007 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'EU (excluding UK)' ",10
2007 ,"'M60 Matthew Boulton College of Further and Higher Education' ","'UK' ",15
2007 ,"'M62 Medway School of Pharmacy' ","'UK' ",85
2007 ,"'M62 Medway School of Pharmacy' ","'EU (excluding UK)' ",10
2007 ,"'M62 Medway School of Pharmacy' ","'Not EU' ",5
2007 ,"'M80 Middlesex University' ","'UK' ",2255
2007 ,"'M80 Middlesex University' ","'EU (excluding UK)' ",150
2007 ,"'M80 Middlesex University' ","'Not EU' ",125
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'UK' ",90
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'EU (excluding UK)' ",5
2007 ,"'M95 Mountview Academy of Theatre Arts' ","'Not EU' ",5
2007 ,"'M99 Myerscough College' ","'UK' ",205
2007 ,"'M99 Myerscough College' ","'Not EU' ",5
2007 ,"'N07 Napier University, Edinburgh' ","'UK' ",1590
2007 ,"'N07 Napier University, Edinburgh' ","'EU (excluding UK)' ",675
2007 ,"'N07 Napier University, Edinburgh' ","'Not EU' ",175
2007 ,"'N13 NPTC Group' ","'UK' ",55
2007 ,"'N21 Newcastle University' ","'UK' ",3640
2007 ,"'N21 Newcastle University' ","'EU (excluding UK)' ",195
2007 ,"'N21 Newcastle University' ","'Not EU' ",240
2007 ,"'N23 Newcastle College' ","'UK' ",700
2007 ,"'N23 Newcastle College' ","'EU (excluding UK)' ",5
2007 ,"'N28 New College Durham' ","'UK' ",130
2007 ,"'N30 New College Nottingham' ","'UK' ",155
2007 ,"'N36 Newman University, Birmingham' ","'UK' ",535
2007 ,"'N36 Newman University, Birmingham' ","'EU (excluding UK)' ",10
2007 ,"'N36 Newman University, Birmingham' ","'Not EU' ",5
2007 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'UK' ",875
2007 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'EU (excluding UK)' ",20
2007 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'Not EU' ",10
2007 ,"'N38 University of Northampton' ","'UK' ",1810
2007 ,"'N38 University of Northampton' ","'EU (excluding UK)' ",25
2007 ,"'N38 University of Northampton' ","'Not EU' ",40
2007 ,"'N39 Norwich University Of The Arts' ","'UK' ",410
2007 ,"'N39 Norwich University Of The Arts' ","'EU (excluding UK)' ",5
2007 ,"'N39 Norwich University Of The Arts' ","'Not EU' ",5
2007 ,"'N41 Northbrook College Sussex' ","'UK' ",135
2007 ,"'N41 Northbrook College Sussex' ","'EU (excluding UK)' ",5
2007 ,"'N41 Northbrook College Sussex' ","'Not EU' ",5
2007 ,"'N49 NESCOT, Surrey' ","'UK' ",20
2007 ,"'N56 Glyndwr University (Formerly The North East Wales Institute of Higher Education)' ","'UK' ",330
