"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Apply Centre Type , Cycle Year"
"Coverage:   Applications through the main scheme, UK domiciled and 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_030_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Apply Centre Type,Number of Applications,
2007 ,"'F6 - Geology' ","'State' ",1405
2007 ,"'F6 - Geology' ","'Other' ",105
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Academy' ",1260
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Further education' ",390
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Grammar' ",195
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Independent' ",430
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Sixth form college' ",835
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'State' ",1105
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Other' ",140
2007 ,"'F8 - Physical geographical sciences' ","'Academy' ",4945
2007 ,"'F8 - Physical geographical sciences' ","'Further education' ",860
2007 ,"'F8 - Physical geographical sciences' ","'Grammar' ",1140
2007 ,"'F8 - Physical geographical sciences' ","'Independent' ",2600
2007 ,"'F8 - Physical geographical sciences' ","'Sixth form college' ",2195
2007 ,"'F8 - Physical geographical sciences' ","'State' ",4450
2007 ,"'F8 - Physical geographical sciences' ","'Other' ",310
2007 ,"'F9 - Others in Physical Sciences' ","'Academy' ",150
2007 ,"'F9 - Others in Physical Sciences' ","'Further education' ",80
2007 ,"'F9 - Others in Physical Sciences' ","'Grammar' ",20
2007 ,"'F9 - Others in Physical Sciences' ","'Independent' ",40
2007 ,"'F9 - Others in Physical Sciences' ","'Sixth form college' ",115
2007 ,"'F9 - Others in Physical Sciences' ","'State' ",215
2007 ,"'F9 - Others in Physical Sciences' ","'Other' ",30
2007 ,"'FF - Combinations within Physical Sciences' ","'Academy' ",1270
2007 ,"'FF - Combinations within Physical Sciences' ","'Further education' ",275
2007 ,"'FF - Combinations within Physical Sciences' ","'Grammar' ",165
