"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_05.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Acceptances,
2014 ,"'7 points' ","'POLAR3 Quintile 1' ",800
2014 ,"'7 points' ","'POLAR3 Quintile 2' ",1135
2014 ,"'7 points' ","'POLAR3 Quintile 3' ",1440
2014 ,"'7 points' ","'POLAR3 Quintile 4' ",1685
2014 ,"'7 points' ","'POLAR3 Quintile 5' ",1685
2014 ,"'7 points' ","'Not assigned' ",15
2014 ,"'8 points' ","'POLAR3 Quintile 1' ",1140
2014 ,"'8 points' ","'POLAR3 Quintile 2' ",1665
2014 ,"'8 points' ","'POLAR3 Quintile 3' ",2050
2014 ,"'8 points' ","'POLAR3 Quintile 4' ",2350
2014 ,"'8 points' ","'POLAR3 Quintile 5' ",2635
2014 ,"'8 points' ","'Not assigned' ",15
2014 ,"'9 points' ","'POLAR3 Quintile 1' ",1405
2014 ,"'9 points' ","'POLAR3 Quintile 2' ",2080
2014 ,"'9 points' ","'POLAR3 Quintile 3' ",2650
2014 ,"'9 points' ","'POLAR3 Quintile 4' ",3010
2014 ,"'9 points' ","'POLAR3 Quintile 5' ",3515
2014 ,"'9 points' ","'Not assigned' ",20
2014 ,"'10 points' ","'POLAR3 Quintile 1' ",1570
2014 ,"'10 points' ","'POLAR3 Quintile 2' ",2330
2014 ,"'10 points' ","'POLAR3 Quintile 3' ",3055
2014 ,"'10 points' ","'POLAR3 Quintile 4' ",3510
2014 ,"'10 points' ","'POLAR3 Quintile 5' ",4295
2014 ,"'10 points' ","'Not assigned' ",25
2014 ,"'11 points' ","'POLAR3 Quintile 1' ",1520
